"Date","Price","Open","High","Low","Vol.","Change %"
"02/23/2023","0.9338","0.9315","0.9351","0.9290","","0.28%"
"02/22/2023","0.9312","0.9279","0.9320","0.9252","","0.38%"
"02/21/2023","0.9277","0.9238","0.9284","0.9228","","0.47%"
"02/20/2023","0.9234","0.9264","0.9267","0.9220","","-0.12%"
"02/17/2023","0.9245","0.9253","0.9334","0.9240","","-0.08%"
"02/16/2023","0.9252","0.9238","0.9273","0.9214","","0.17%"
"02/15/2023","0.9236","0.9214","0.9263","0.9209","","0.27%"
"02/14/2023","0.9211","0.9195","0.9237","0.9137","","0.21%"
"02/13/2023","0.9192","0.9240","0.9262","0.9190","","-0.48%"
"02/10/2023","0.9236","0.9222","0.9255","0.9197","","0.15%"
"02/09/2023","0.9222","0.9209","0.9230","0.9160","","0.15%"
"02/08/2023","0.9208","0.9220","0.9227","0.9178","","-0.12%"
"02/07/2023","0.9219","0.9283","0.9291","0.9191","","-0.68%"
"02/06/2023","0.9282","0.9264","0.9291","0.9226","","0.26%"
"02/03/2023","0.9258","0.9134","0.9271","0.9122","","1.41%"
"02/02/2023","0.9129","0.9091","0.9141","0.9060","","0.52%"
"02/01/2023","0.9082","0.9165","0.9184","0.9069","","-0.86%"
"01/31/2023","0.9161","0.9256","0.9290","0.9150","","-0.94%"
"01/30/2023","0.9248","0.9215","0.9258","0.9182","","0.46%"
"01/27/2023","0.9206","0.9204","0.9241","0.9191","","0.04%"
"01/26/2023","0.9202","0.9182","0.9226","0.9158","","0.26%"
"01/25/2023","0.9178","0.9229","0.9247","0.9172","","-0.52%"
"01/24/2023","0.9226","0.9217","0.9281","0.9191","","0.10%"
"01/23/2023","0.9217","0.9204","0.9243","0.9160","","0.14%"
"01/20/2023","0.9204","0.9159","0.9236","0.9140","","0.46%"
"01/19/2023","0.9162","0.9165","0.9194","0.9147","","0.02%"
"01/18/2023","0.9160","0.9219","0.9247","0.9085","","-0.64%"
"01/17/2023","0.9219","0.9265","0.9279","0.9186","","-0.50%"
"01/16/2023","0.9265","0.9273","0.9290","0.9218","","0.00%"
"01/13/2023","0.9265","0.9280","0.9319","0.9255","","-0.11%"
"01/12/2023","0.9275","0.9318","0.9354","0.9265","","-0.37%"
"01/11/2023","0.9309","0.9229","0.9333","0.9204","","0.93%"
"01/10/2023","0.9223","0.9216","0.9254","0.9194","","0.11%"
"01/09/2023","0.9213","0.9280","0.9286","0.9166","","-0.65%"
"01/06/2023","0.9273","0.9359","0.9409","0.9269","","-0.94%"
"01/05/2023","0.9361","0.9294","0.9380","0.9260","","0.72%"
"01/04/2023","0.9294","0.9361","0.9369","0.9252","","-0.68%"
"01/03/2023","0.9358","0.9252","0.9400","0.9229","","1.17%"
"01/02/2023","0.9250","0.9245","0.9262","0.9231","","0.06%"
