"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2023","174.20","173.85","174.71","173.53","","0.18%"
"06/01/2023","173.89","173.35","174.29","172.96","","0.34%"
"05/31/2023","173.30","173.55","173.69","172.49","","-0.13%"
"05/30/2023","173.52","173.50","174.30","172.96","","0.03%"
"05/29/2023","173.46","173.67","173.99","172.93","","-0.06%"
"05/26/2023","173.57","172.60","173.81","172.23","","0.60%"
"05/25/2023","172.53","172.43","172.82","171.68","","0.06%"
"05/24/2023","172.43","172.01","172.82","171.22","","0.24%"
"05/23/2023","172.01","172.38","172.65","171.27","","-0.17%"
"05/22/2023","172.31","171.79","172.61","171.18","","0.38%"
"05/19/2023","171.66","172.16","172.55","171.23","","-0.26%"
"05/18/2023","172.11","171.95","172.20","171.18","","0.13%"
"05/17/2023","171.89","170.30","172.05","170.10","","0.96%"
"05/16/2023","170.26","170.54","170.87","169.39","","-0.13%"
"05/15/2023","170.48","169.05","170.65","168.87","","0.85%"
"05/12/2023","169.05","168.35","169.15","168.18","","0.44%"
"05/11/2023","168.31","169.63","169.75","167.82","","-0.75%"
"05/10/2023","169.59","170.68","171.24","169.10","","-0.60%"
"05/09/2023","170.62","170.46","170.74","169.84","","0.11%"
"05/08/2023","170.43","170.45","171.09","170.17","","0.08%"
"05/05/2023","170.30","168.82","170.69","168.61","","0.89%"
"05/04/2023","168.80","169.26","169.57","168.04","","-0.24%"
"05/03/2023","169.21","170.23","170.40","169.09","","-0.56%"
"05/02/2023","170.17","171.83","172.33","169.92","","-0.95%"
"05/01/2023","171.80","171.38","172.12","170.98","","0.36%"
"04/28/2023","171.18","167.30","171.40","166.60","","2.26%"
"04/27/2023","167.40","166.63","167.55","166.25","","0.46%"
"04/26/2023","166.63","165.92","167.05","165.63","","0.43%"
"04/25/2023","165.91","167.52","167.98","165.41","","-0.97%"
"04/24/2023","167.53","166.88","167.79","166.52","","0.47%"
"04/21/2023","166.75","166.93","167.10","165.51","","-0.16%"
"04/20/2023","167.02","167.62","167.74","166.83","","-0.30%"
"04/19/2023","167.53","166.67","168.01","166.46","","0.56%"
"04/18/2023","166.59","166.38","167.04","166.15","","0.13%"
"04/17/2023","166.38","166.15","166.68","165.68","","0.20%"
"04/14/2023","166.05","166.01","166.27","165.39","","0.04%"
"04/13/2023","165.98","166.21","166.90","165.40","","-0.10%"
"04/12/2023","166.15","166.10","166.71","165.37","","0.05%"
"04/11/2023","166.06","165.45","166.21","165.18","","0.39%"
"04/10/2023","165.41","164.16","165.54","163.81","","0.85%"
"04/07/2023","164.01","163.95","164.44","163.38","","0.07%"
"04/06/2023","163.90","163.62","164.20","162.93","","0.18%"
"04/05/2023","163.60","164.65","164.79","162.86","","-0.61%"
"04/04/2023","164.60","164.37","166.43","164.17","","0.14%"
"04/03/2023","164.37","164.04","164.94","163.41","","0.37%"
"03/31/2023","163.77","164.29","165.49","163.62","","-0.30%"
"03/30/2023","164.26","163.58","164.54","162.96","","0.44%"
"03/29/2023","163.54","161.56","163.70","161.35","","1.28%"
"03/28/2023","161.48","161.62","161.82","160.72","","-0.08%"
